Date;hash_rate;active_addre;tran_sec;tran_num;block_size;rev_all_miners;block_reward;size_tran;trans_fees;US_bank_idx
2016-06-20;1.59003263209282e+18;563274;2.883912037037037;249170;127968007;4176.771135800001;4100.000000000004;127929039;76.7711358;293.91
2016-06-21;1.53671353277279e+18;592429;2.870543981481481;248015;136321591;3801.28917579;3724.999999999997;136287127;76.28917579;295.52
2016-06-22;1.3355854727437e+18;546584;2.7258333333333336;235512;121988051;3303.85018659;3225.000000000001;121950553;78.85018659;294.69
2016-06-23;1.45141029202112e+18;549072;2.791203703703704;241160;128771420;3575.30395381;3499.999999999999;128735245;75.30395381;302.84
2016-06-24;1.34238321023062e+18;547541;2.7487962962962964;237496;121605295;3299.11847429;3225.000000000001;121574545;74.11847429;282.25
2016-06-25;1.68711063227089e+18;529704;2.3930208333333334;206757;128400847;4110.99766676;4049.999999999996;128358187;60.99766676;
2016-06-26;1.53462396526044e+18;501696;2.0972453703703704;181202;111285833;3704.30478358;3649.999999999999;111248524;54.30478358;
2016-06-27;1.52037142911538e+18;483509;2.5102083333333334;216882;114249498;3736.78464957;3674.999999999997;114211486;61.78464957;270.79
2016-06-28;1.54316887466228e+18;541035;2.459016203703704;212459;112484797;3758.37675619;3699.9999999999977;112443583;58.37675619;279.49
2016-06-29;1.50587362921858e+18;466163;2.592199074074074;223966;111625647;3711.68595835;3650.000000000002;111587226;61.68595835;287.05
2016-06-30;1.55006283377742e+18;506953;2.682986111111111;231810;119626572;3812.5040288;3749.999999999997;119591645;62.5040288;291.02
2016-07-01;1.62317403453523e+18;494871;2.380162037037037;205646;116149416;3932.69296304;3875.0000000000023;116112957;57.69296304;288.12
2016-07-02;1.53921632770401e+18;445951;2.3000694444444445;198726;103527757;3777.92652832;3725.000000000004;103481558;52.92652832;
2016-07-03;1.61648422804924e+18;429458;2.048298611111111;176973;94655917;3895.47185343;3850.000000000005;94619586;45.47185343;
2016-07-04;1.53985957875396e+18;504368;2.473946759259259;213749;111638301;3830.145887260001;3775.000000000005;111596316;55.14588726;
2016-07-05;1.53792792566528e+18;487939;2.486273148148148;214814;114428119;3680.87364447;3624.999999999997;114388248;55.87364447;280.41
2016-07-06;1.48935983682829e+18;465231;2.483229166666667;214551;111656720;3555.67845334;3500.000000000001;111623693;55.67845334;282.83
2016-07-07;1.44608177314864e+18;467374;2.4931828703703705;215411;112545555;3481.5072857200003;3424.999999999996;112507226;56.50728572;284.83
2016-07-08;1.5363811258649e+18;463178;2.436990740740741;210556;113077520;3682.25884524;3624.999999999998;113043246;57.25884524;289.94
2016-07-09;1.57158752289677e+18;438208;2.1441666666666666;185256;98049924;3172.40040469;3124.9999999999964;98014814;47.40040469;
2016-07-10;1.65841743579116e+18;399912;1.8802314814814816;162452;91386935;1988.56114004;1950.0;91344444;38.56114004;
2016-07-11;1.51040531210418e+18;492772;2.522523148148148;217946;113439997;1844.83521701;1787.5;113406335;57.33521701;292.09
2016-07-12;1.52113344426076e+18;476690;2.5334606481481483;218891;110943100;1838.67140866;1787.4999999999995;110906886;51.17140866;297.1
2016-07-13;1.36171745290804e+18;452752;2.504328703703704;216374;105782992;1665.68160911;1612.4999999999995;105750399;53.18160911;296.5
2016-07-14;1.49759932030687e+18;475078;2.517986111111111;217554;112579683;1819.98641729;1762.4999999999995;112538257;57.48641729;301.35
2016-07-15;1.4353021183366e+18;452538;2.499375;215946;106679332;1742.72548963;1687.5000000000002;106647743;55.22548963;300.07
2016-07-16;1.65974994385147e+18;467762;2.106886574074074;182035;108091120;2013.17563958;1962.5;108053588;50.67563958;
2016-07-17;1.6042085469069e+18;434158;1.9775925925925928;170864;105694076;1910.37291321;1862.5;105658328;47.87291321;
2016-07-18;1.54023702915617e+18;496551;2.5773958333333336;222687;121226236;1909.07113707;1850.0000000000005;121191008;59.07113707;301.71
