roy_final
time;open;high;low;close;Upper Bollinger;Lower Bollinger;Upper Donchian;Lower Donchian;Volume;Red Arrow;Green Arrow;RSI;Put-call Ratio;Detrended Price Oscillator
1538438400;6569.32;6597;6447.28;6500;6779.88271874902;6282.622281250978;6826.28;6100;4116.13342419;0;0;47.04212843485344;799;-80.31000000000586
1538524800;6500;6510;6396.34;6456.77;6779.812277393564;6279.7997226064335;6826.28;6100;4774.76328174;0;0;45.43623964865554;861;-100.92095238095771
1538611200;6454.81;6604.89;6450.58;6547.56;6782.251259820707;6284.465740179292;6826.28;6100;3832.70048916;0;0;49.347083050335726;1.066;17.873333333329356
1538697600;6548.83;6641.35;6510;6582.12;6786.15651334384;6286.757486656159;6826.28;6100;3807.26928181;0;0;50.79290321329299;1.181;84.6938095238047
1538784000;6582.11;6595.69;6526.28;6544.08;6787.812369424056;6289.511630575943;6826.28;6100;2022.78075908;0;0;49.13058852933394;1.181;91.03523809523267
1538870400;6547.93;6600;6493.92;6577.63;6767.392831671326;6342.242168328672;6826.28;6100;2455.65659087;0;0;50.6641785286669;1.181;134.95619047618675
1538956800;6574.15;6656.63;6541.06;6604.75;6755.64270844545;6381.2332915545485;6826.28;6100;4079.04424933;0;0;51.92584923557594;1.175;153.098571428568
1539043200;6604.76;6623.14;6553.13;6588.8;6746.518070165951;6410.397929834046;6826.28;6324.96;2254.95026959;0;0;51.09820257840091;944;127.11238095237695
1539129600;6588.72;6589.79;6387.91;6517.55;6745.574442693801;6413.798557306197;6826.28;6324.96;5177.06675956;0;0;47.45913562496395;1.216;36.76380952380532
1539216000;6517.55;6520.43;6055.28;6152.76;6783.62055661994;6316.08344338006;6826.28;6055.28;9616.23958351;1;0;34.077816646161764;1.184;-345.25333333333765
1539302400;6152.76;6243.79;6109.79;6185.15;6794.467543590901;6252.750456409098;6792.28;6055.28;3246.3815572;0;0;35.80846784632767;1.161;-325.6828571428614
1539388800;6182.03;6219.77;6168.83;6199.69;6790.789380649728;6206.175619350271;6792.28;6055.28;1954.04680593;0;0;36.612950426236075;1.161;-321.619523809527
1539475200;6201.23;6349.47;6143.08;6183;6798.528259458834;6158.584740541163;6792.28;6055.28;2525.73820085;0;0;36.05438556023111;1.161;-344.7057142857175
1539561600;6185.04;6756;6149.28;6441.74;6798.818818460936;6159.569181539061;6792.28;6055.28;16895.88930388;0;0;49.03518071241636;956;-88.91142857143132
1539648000;6438.2;6493.77;6386.4;6461.2;6798.806777302234;6159.550222697762;6792.28;6055.28;4703.09390629;0;0;49.8595890330885;1.032;-74.48047619047793
1539734400;6457.67;6465.39;6407.69;6437.29;6773.098703556093;6160.825296443904;6792.28;6055.28;2961.26337446;0;0;48.814761818913716;1.166;-99.53000000000247
1539820800;6440.07;6490;6350;6396.18;6756.442394996636;6156.023605003361;6756;6055.28;3823.16928503;0;0;46.99142468187035;1.287;-144.33761904762287
1539907200;6394.23;6412.4;6355.99;6383.46;6742.693611005136;6150.180388994861;6756;6055.28;2290.0590117;0;0;46.41374547300968;1.14;-173.73523809524067
1539993600;6380.47;6424.16;6363.02;6412.86;6725.405808524055;6148.973191475942;6756;6055.28;1261.97849549;0;0;48.004768778915626;1.14;-156.547619047622
1540080000;6412.86;6470;6401.01;6413.38;6710.97417273581;6147.622827264188;6756;6055.28;1541.01151749;0;0;48.034157575810084;1.14;-162.1776190476212
1540166400;6412.62;6429.23;6372.53;6406.06;6704.532210232456;6144.67078976754;6756;6055.28;2407.5354618;0;0;47.626068055155436;1.068;-153.2966666666689
1540252800;6409.39;6421.58;6354.26;6393.41;6701.270375860329;6141.596624139665;6756;6055.28;2851.00556658;0;0;46.88475601752138;1.037;-139.0752380952399
1540339200;6396.24;6473;6393;6411.96;6688.443883562449;6140.8631164375465;6756;6055.28;3535.33808825;0;0;48.15904345687255;1.29;-96.22428571428645
1540425600;6411.96;6422.73;6361.73;6393.53;6668.065676634975;6142.38232336502;6756;6055.28;3046.60380599;0;0;46.953772159107686;1.04;-89.92952380952556
1540512000;6393.38;6450.3;6377.81;6406.1;6653.353072768998;6143.296927230998;6756;6055.28;3323.82631782;0;0;47.91128635279883;1.316;-70.70333333333383
1540598400;6406.1;6420.01;6381.25;6407.66;6631.358675354127;6148.294324645868;6756;6055.28;890.1271569;0;0;48.036647189840856;1.316;-70.67714285714555
1540684800;6407.66;6420;6383;6405.57;6600.666536219101;6159.0684637808945;6756;6055.28;839.29766473;0;0;47.87042389172707;1.316;-71.61380952381205
1540771200;6404.27;6420;6208.37;6266.52;6567.59791039997;6159.909089600024;6756;6055.28;5190.82201499;0;0;38.35987150855407;1.268;-197.07142857143026
1540857600;6266.47;6289;6240;6269.46;6546.245478460452;6156.452521539542;6756;6055.28;2523.57742936;0;0;38.63746086591025;1.176;-183.3076190476213
1540944000;6269.45;6350;6199.25;6303.27;6533.037942143525;6184.71105785647;6756;6109.79;5148.08262352;0;0;41.879025512243174;1.122;-141.56809523809625
1541030400;6304.5;6365.33;6288.01;6340.99;6521.966127209066;6211.366872790929;6756;6143.08;2190.97047686;0;0;45.34775602142519;846;-95.06571428571624
1541116800;6343.85;6381.25;6328.33;6350.43;6509.729302750983;6238.677697249011;6756;6143.08;2678.06948097;0;0;46.21292432352905;936;-77.7619047619055
1541203200;6350.05;6351.74;6312.48;6335;6487.310989835432;6276.29601016456;6756;6149.28;1084.13861953;0;0;44.96007668299071;936;-88.11619047619206
1541289600;6333.59;6475;6310.57;6421.76;6484.383773888915;6277.225226111078;6493.77;6199.25;2673.81391399;0;0;52.721429800473054;936;0.7776190476179181
