timestamp,bitcoin-aggregate-security-spend-thermocap-usd,bitcoin-balanced-price-usd,bitcoin-block-height,bitcoin-circulating-supply-btc,bitcoin-cumulative-value-days-destroyed-cvdd,bitcoin-delta-cap-usd,bitcoin-investor-capitalization,bitcoin-market-cap-usd,bitcoin-market-value-to-realized-value-ratio-mvrv,bitcoin-median-value-of-created-utxos-btc,bitcoin-median-value-of-spent-utxos-btc,bitcoin-mining-difficulty,bitcoin-mvrv-z-score,bitcoin-number-of-addresses-with-balance-0-1,bitcoin-number-of-addresses-with-balance-0-01,bitcoin-number-of-addresses-with-balance-1,bitcoin-number-of-addresses-with-balance-1k,bitcoin-number-of-addresses-with-balance-10,bitcoin-number-of-addresses-with-balance-10k,bitcoin-number-of-addresses-with-balance-100,bitcoin-number-of-addresses,bitcoin-number-of-utxos-in-profit,bitcoin-percent-of-supply-last-active-3-years-ago,bitcoin-price-drawdown-from-ath,bitcoin-realized-cap-usd,bitcoin-realized-price-usd,bitcoin-relative-unrealized-profit,bitcoin-stock-to-flow-ratio-usd,bitcoin-total-supply-last-active-3y-5y-btc,bitcoin-total-supply-last-active-5y-7y-btc
2016-01-22,1534136119.967505,232.9998900566341,394538.0,15113475.0,173.724645116102,2135815376.712868,3029649764.102795,5792918324.265311,1.2693229856565458,0.0256,0.02,4.86853010508298e+20,0.427958746428031,1266237.0,2460307.0,525131.0,1755.0,137655.0,108.0,16828.0,120393674.0,25565330.0,0.235929625989649,-0.6703241133264888,4563785884.0703,301.9680043186825,0.374067530992926,411.313553718226,1532820.37979042,1967681.12436357
2016-01-23,1535879065.0771198,232.7439950807657,394717.0,15117950.0,174.288459163643,2134676044.410932,3028463770.3360004,5849374618.830308,1.281537086444752,0.01054346,0.02008332,4.86853010508298e+20,0.441281306258267,1267151.0,2462714.0,526759.0,1753.0,138001.0,108.0,16848.0,120630106.0,25918930.0,0.235833536481315,-0.66720971378742,4564342835.41312,301.91546045681594,0.376167131854078,410.357016098225,1531817.32750641,1958837.28534137
2016-01-24,1537573876.198138,232.9694527706374,394888.0,15122225.0,174.365943687343,2137730893.3447657,3031638268.850372,6091248486.741242,1.333106954410534,0.01134308,0.0248682,4.86853010508298e+20,0.529733032632872,1270153.0,2473074.0,528990.0,1752.0,136779.0,110.0,16841.0,120866209.0,26763136.0,0.235854654197925,-0.6535466775623879,4569212145.04851,302.1521069186915,0.386611294408117,409.636792682001,1531949.16273693,1951132.98534137
2016-01-25,1539177493.8584166,233.03113175278912,395050.0,15126275.0,174.68631233955,2139803638.209835,3033833362.632804,5916207771.961433,1.2937226605450969,0.02,0.02263697,4.86853010508298e+20,0.47147567582043,1274175.0,2480946.0,525781.0,1754.0,134355.0,108.0,16863.0,121140581.0,26241451.0,0.23575545208779,-0.6635926038838573,4573010856.49122,302.3223401988408,0.377858582256395,409.09821927085,1529917.99568794,1948618.80534137
2016-01-26,1540749662.4605365,233.03898376166575,395210.0,15130275.0,174.877477351087,2140272437.3511455,3034459111.6805234,5926026605.50945,1.2952472549456475,0.0289,0.02882,5.1553927252669e+20,0.47390504977246,1280407.0,2493525.0,523931.0,1752.0,134641.0,108.0,16908.0,121428098.0,26214518.0,0.23578798377763,-0.6631233692184262,4575208774.14106,302.3876812642903,0.377615515298888,408.65659111294,1530959.20090979,1944412.83534137
2016-01-27,1542277178.5707996,233.08873896786903,395365.0,15134150.0,174.964145327459,2140699498.8190496,3035107632.2445297,5969615228.854409,1.3041541132284864,0.0382653,0.0419,5.1553927252669e+20,0.484291681829419,1278151.0,2497606.0,516673.0,1762.0,134090.0,109.0,16986.0,121707305.0,26533274.0,0.235785885489106,-0.6607323777455985,4577384810.81533,302.454040089158,0.378858389903789,408.882268213071,1531251.55353366,1940552.40534137
2016-01-28,1543677694.9465032,232.72099756388064,395511.0,15137800.0,175.135043133738,2135370929.513448,3030016480.778437,5748588295.154844,1.2568807782701563,0.02613354,0.026114,5.1553927252669e+20,0.408633898941019,1273905.0,2498230.0,508921.0,1759.0,134452.0,109.0,16964.0,122000559.0,25044396.0,0.235715125699213,-0.6733726459510687,4573694175.72494,302.1373102911216,0.36872225161817,409.690742585366,1527837.00446826,1939106.42534137
2016-01-29,1545267402.5864556,232.25624753378744,395680.0,15142025.0,175.207922847282,2128125398.1435032,3022810041.0600348,5733384212.906307,1.255097857607599,0.03733145,0.0523155,5.1553927252669e+20,0.405243787596915,1241590.0,2467078.0,473393.0,1776.0,135455.0,109.0,16966.0,122293833.0,25026062.0,0.235690827594769,-0.6743274183241963,4568077443.64649,301.68206984511585,0.367774021749596,409.976077103039,1527752.81077686,1935218.59293391
2016-01-30,1547036912.4889832,232.34214505337363,395867.0,15146700.0,175.361533813806,2129815527.465521,3024349058.873787,5715590395.488448,1.2502970502367317,0.01500003,0.0327,5.1553927252669e+20,0.397841878592592,1238015.0,2465555.0,466832.0,1770.0,136174.0,109.0,17005.0,122543689.0,25088463.0,0.235697298424321,-0.6754383641794333,4571385971.36277,301.80738849800747,0.367017301026032,409.196278425676,1525364.19710984,1933807.07293391
2016-01-31,1548749259.3642786,232.34685592206424,396048.0,15151225.0,175.410220698757,2129683046.083145,3024051556.946041,5574906261.999016,1.2191447836770792,0.01057062,0.03,5.1553927252669e+20,0.348380430466282,1231285.0,2463849.0,460134.0,1775.0,136464.0,109.0,17050.0,122767413.0,24220039.0,0.235745288591248,-0.6835217041616105,4572800816.31032,301.8106335501136,0.360705673298758,409.2586142415,1519096.7472021,1937818.16293391
