time,Value_M3,Value_CPI,Value_EFF,Value_SP500,Value_USpce,Value_USreal,Variation_UStotal,Value_USunem
2022-03-02,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-03,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-04,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-05,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-06,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-07,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-08,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-09,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-10,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-11,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-12,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-13,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-14,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-15,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-16,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-17,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-18,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-19,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-20,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-21,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-22,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-23,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-24,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-25,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-26,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-27,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-28,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-29,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-30,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-03-31,0.005905756940353335,0.08529876011680249,0.2,3.58,6.77,-1.6,0.27077004358737283,3.6
2022-04-01,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-02,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-03,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-04,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-05,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-06,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-07,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-08,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-09,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-10,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-11,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-12,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-13,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-14,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-15,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-16,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-17,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-18,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-19,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-20,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-21,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-22,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-23,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-24,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-25,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-26,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-27,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-28,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-29,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-04-30,-0.0009076420126670204,-0.9033225339410587,0.33,-8.8,6.41,,0.17141350210970466,3.6
2022-05-01,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-02,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-03,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-04,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-05,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-06,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-07,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-08,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-09,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-10,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-11,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-12,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-13,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-14,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-15,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-16,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-17,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-18,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-19,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-20,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-21,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-22,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-23,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-24,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-25,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-26,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-27,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-28,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-29,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-30,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-05-31,-0.000571750523410075,9.390961939207834,0.77,0.01,6.52,,0.23677979479084454,3.6
2022-06-01,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-02,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-03,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-04,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-05,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-06,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-07,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-08,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-09,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-10,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-11,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-12,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-13,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-14,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
2022-06-15,5.503953673380302e-05,0.05572992914651054,1.21,-8.39,6.98,-0.6,0.24276622268879994,3.6
